?defined_class	?defined_class_label	?entity	?entity_label
<http://purl.obolibrary.org/obo/HP_0100892>	"Abnormality of the xiphoid process"	<http://purl.obolibrary.org/obo/UBERON_0002207>	"xiphoid process"
<http://purl.obolibrary.org/obo/HP_0010668>	"Abnormality of the zygomatic bone"	<http://purl.obolibrary.org/obo/UBERON_0001683>	"jugal bone"
<http://purl.obolibrary.org/obo/HP_0010900>	"Abnormality of threonine metabolism"	<http://purl.obolibrary.org/obo/GO_0006566>	"threonine metabolic process"
<http://purl.obolibrary.org/obo/HP_0001780>	"Abnormality of toe"	<http://purl.obolibrary.org/obo/UBERON_0001466>	"pedal digit"
<http://purl.obolibrary.org/obo/HP_0010184>	"Abnormality of toe proximal phalanx"	<http://purl.obolibrary.org/obo/UBERON_0003868>	"proximal phalanx of pes"
<http://purl.obolibrary.org/obo/HP_0004365>	"Abnormality of tryptophan metabolism"	<http://purl.obolibrary.org/obo/GO_0006568>	"tryptophan metabolic process"
<http://purl.obolibrary.org/obo/HP_0010917>	"Abnormality of tyrosine metabolism"	<http://purl.obolibrary.org/obo/GO_0006570>	"tyrosine metabolic process"
<http://purl.obolibrary.org/obo/HP_0011022>	"Abnormality of unsaturated fatty acid metabolism"	<http://purl.obolibrary.org/obo/GO_0033559>	"unsaturated fatty acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0003839>	"Abnormality of upper limb epiphysis morphology"	_:Bgenid24047	
<http://purl.obolibrary.org/obo/HP_0009809>	"Abnormality of upper limb metaphysis"	_:Bgenid44333	
<http://purl.obolibrary.org/obo/HP_0430017>	"Abnormality of uvular muscle"	<http://purl.obolibrary.org/obo/UBERON_0010235>	"uvular muscle"
<http://purl.obolibrary.org/obo/HP_0010914>	"Abnormality of valine metabolism"	<http://purl.obolibrary.org/obo/GO_0006573>	"valine metabolic process"
<http://purl.obolibrary.org/obo/HP_0100734>	"Abnormality of vertebral epiphysis morphology"	_:Bgenid69153	
<http://purl.obolibrary.org/obo/HP_0000504>	"Abnormality of vision"	<http://purl.obolibrary.org/obo/GO_0007601>	"visual perception"
<http://purl.obolibrary.org/obo/HP_0008372>	"Abnormality of vitamin A metabolism"	<http://purl.obolibrary.org/obo/GO_0006776>	"vitamin A metabolic process"
<http://purl.obolibrary.org/obo/HP_0004341>	"Abnormality of vitamin B12 metabolism"	<http://purl.obolibrary.org/obo/GO_0009235>	"cobalamin metabolic process"
<http://purl.obolibrary.org/obo/HP_0100509>	"Abnormality of vitamin C metabolism"	<http://purl.obolibrary.org/obo/GO_0019852>	"L-ascorbic acid metabolic process"
<http://purl.obolibrary.org/obo/HP_0100511>	"Abnormality of vitamin D metabolism"	<http://purl.obolibrary.org/obo/GO_0042359>	"vitamin D metabolic process"
<http://purl.obolibrary.org/obo/HP_0100514>	"Abnormality of vitamin E metabolism"	<http://purl.obolibrary.org/obo/GO_0042360>	"vitamin E metabolic process"
<http://purl.obolibrary.org/obo/HP_0100831>	"Abnormality of vitamin K metabolism"	<http://purl.obolibrary.org/obo/GO_0042373>	"vitamin K metabolic process"
<http://purl.obolibrary.org/obo/HP_0100508>	"Abnormality of vitamin metabolism"	<http://purl.obolibrary.org/obo/GO_0006766>	"vitamin metabolic process"
<http://purl.obolibrary.org/obo/HP_0012146>	"Abnormality of von Willebrand factor"	<http://purl.obolibrary.org/obo/PR_000017364>	"von Willebrand factor"
<http://purl.obolibrary.org/obo/HP_0010933>	"Abnormality of xanthine metabolism"	<http://purl.obolibrary.org/obo/GO_0046110>	"xanthine metabolic process"
<http://purl.obolibrary.org/obo/HP_0008277>	"Abnormality of zinc homeostasis"	<http://purl.obolibrary.org/obo/GO_0055069>	"zinc ion homeostasis"
<http://purl.obolibrary.org/obo/HP_3000018>	"Abnormality of zygomaticus major muscle"	<http://purl.obolibrary.org/obo/UBERON_0008593>	"zygomaticus major muscle"
<http://purl.obolibrary.org/obo/HP_3000020>	"Abnormality of zygomaticus minor muscle"	<http://purl.obolibrary.org/obo/UBERON_0008594>	"zygomaticus minor muscle"
<http://purl.obolibrary.org/obo/HP_0000849>	"Adrenocortical abnormality"	<http://purl.obolibrary.org/obo/UBERON_0001235>	"adrenal cortex"
<http://purl.obolibrary.org/obo/HP_0000718>	"Aggressive behavior"	<http://purl.obolibrary.org/obo/NBO_0000015>	"aggressive behavior"
<http://purl.obolibrary.org/obo/HP_0000713>	"Agitation"	<http://purl.obolibrary.org/obo/NBO_0000129>	"agitation behavior"
<http://purl.obolibrary.org/obo/HP_0006504>	"Anomaly of the limb diaphyses"	<http://purl.obolibrary.org/obo/UBERON_0004769>	"diaphysis"
<http://purl.obolibrary.org/obo/HP_0009808>	"Anomaly of the upper limb diaphyses"	_:Bgenid44320	
<http://purl.obolibrary.org/obo/HP_0000739>	"Anxiety"	<http://purl.obolibrary.org/obo/NBO_0000092>	"anxiety-related behavior"
<http://purl.obolibrary.org/obo/HP_0000708>	"Behavioral abnormality"	<http://purl.obolibrary.org/obo/NBO_0000313>	"behavior process"
<http://purl.obolibrary.org/obo/HP_0001080>	"Biliary tract abnormality"	<http://purl.obolibrary.org/obo/UBERON_0001173>	"biliary tree"
<http://purl.obolibrary.org/obo/HP_0005776>	"Carpal bone malsegmentation"	_:Bgenid29782	
<http://purl.obolibrary.org/obo/HP_0040012>	"Chromosome breakage"	<http://purl.obolibrary.org/obo/GO_0031052>	"chromosome breakage"
<http://purl.obolibrary.org/obo/HP_0001507>	"Growth abnormality"	<http://purl.obolibrary.org/obo/GO_0040007>	"growth"
<http://purl.obolibrary.org/obo/HP_0003540>	"Impaired platelet aggregation"	<http://purl.obolibrary.org/obo/GO_0070527>	"platelet aggregation"
<http://purl.obolibrary.org/obo/HP_0007772>	"Impaired smooth pursuit"	<http://purl.obolibrary.org/obo/NBO_0000446>	"visual pursuit"
<http://purl.obolibrary.org/obo/HP_0000735>	"Impaired social interactions"	<http://purl.obolibrary.org/obo/NBO_0000011>	"social behavior"
<http://purl.obolibrary.org/obo/HP_0100710>	"Impulsivity"	<http://purl.obolibrary.org/obo/NBO_0000119>	"impulsive behavior"
<http://purl.obolibrary.org/obo/HP_0000719>	"Inappropriate behavior"	<http://purl.obolibrary.org/obo/NBO_0000604>	"social inhibition"
<http://purl.obolibrary.org/obo/HP_0000748>	"Inappropriate laughter"	<http://purl.obolibrary.org/obo/NBO_0000617>	"laughing behavior"
<http://purl.obolibrary.org/obo/HP_0008768>	"Inappropriate sexual behavior"	<http://purl.obolibrary.org/obo/NBO_0000605>	"sexual inhibition"
<http://purl.obolibrary.org/obo/HP_0004305>	"Involuntary movements"	<http://purl.obolibrary.org/obo/GO_0003010>	"voluntary skeletal muscle contraction"
<http://purl.obolibrary.org/obo/HP_0000737>	"Irritability"	<http://purl.obolibrary.org/obo/NBO_0000128>	"irritability behavior"
<http://purl.obolibrary.org/obo/HP_0002024>	"Malabsorption"	<http://purl.obolibrary.org/obo/GO_0050892>	"intestinal absorption"
<http://purl.obolibrary.org/obo/HP_0045005>	"Neural tube defect"	<http://purl.obolibrary.org/obo/GO_0001843>	"neural tube closure"
<http://purl.obolibrary.org/obo/HP_0000639>	"Nystagmus"	<http://purl.obolibrary.org/obo/NBO_0000417>	"physiologic nystagmus"
<http://purl.obolibrary.org/obo/HP_0002033>	"Poor suck"	<http://purl.obolibrary.org/obo/NBO_0000054>	"suckling behavior"
<http://purl.obolibrary.org/obo/HP_0007850>	"Retinal vascular proliferation"	_:Bgenid34640	
<http://purl.obolibrary.org/obo/HP_0100008>	"Schwannoma"	<http://purl.obolibrary.org/obo/CL_0000218>	"myelinating Schwann cell"
<http://purl.obolibrary.org/obo/HP_0002624>	"Venous abnormality"	<http://purl.obolibrary.org/obo/UBERON_0001638>	"vein"
<http://purl.obolibrary.org/obo/HP_0008760>	"Violent behavior"	<http://purl.obolibrary.org/obo/NBO_0000120>	"physical aggression behavior"

